EmployeeID,Name,Gender,Age,Department,JobRole,Education,Salary,HireDate,Attrition,PerformanceRating,Location,YearsAtCompany
8491,Kiaan Kaur,Female,54,Marketing,Digital Marketer,PhD,2333147,2022-03-23,No,4,Delhi,3
7902,Kavya Deshmukh,Female,56,Sales,Sales Executive,Masters,306233,2023-03-24,No,4,Hyderabad,2
7492,Rania Loke,Male,51,Administration,Admin Manager,PhD,1953091,2021-10-25,No,2,Pune,3
9441,Badal Loyal,Female,25,IT Support,IT Technician,Masters,2377180,2022-08-10,No,2,Chennai,2
3346,Ela Boase,Male,60,HR,HR Manager,PhD,2056553,2024-02-08,No,3,Chennai,1
4685,Kartik Shan,Female,23,Administration,Admin Manager,Masters,2051097,2015-05-24,No,2,Mumbai,9
4187,Saira Hora,Female,53,Sales,Sales Manager,High School,1864031,2021-08-09,No,3,Bangalore,3
4471,Sahil Lanka,Male,58,Engineering,QA Analyst,Diploma,271037,2016-02-23,No,3,Chennai,9
5858,Tarini Guha,Male,52,Sales,Sales Manager,Masters,329710,2017-09-17,Yes,3,Kolkata,7
6627,Advik Dhar,Male,29,Sales,Sales Manager,Masters,1640165,2017-10-20,No,3,Pune,7
5892,Mahika Dugar,Male,51,IT Support,Helpdesk Support,High School,2278740,2022-04-03,No,3,Hyderabad,3
3888,Jiya Sarin,Female,22,Sales,Sales Manager,High School,1389502,2022-03-03,No,2,Chennai,3
2482,Gokul Bhardwaj,Male,23,R&D,Research Associate,Diploma,875489,2018-03-15,No,3,Hyderabad,7
9602,Pihu Chakrabarti,Male,42,IT Support,Helpdesk Support,Masters,1823510,2023-04-07,No,3,Pune,2
5309,Rohan Sama,Female,38,R&D,Lab Technician,High School,2391492,2021-06-20,No,3,Delhi,3
3572,Mishti Subramanian,Male,47,Sales,Sales Manager,PhD,802048,2017-10-26,No,2,Kolkata,7
3216,Ayesha Jaggi,Male,57,Marketing,Digital Marketer,PhD,1579589,2020-01-31,No,2,Kolkata,5
7031,Prisha Dara,Female,57,R&D,Research Associate,Bachelors,749934,2019-11-26,No,3,Bangalore,5
5643,Taimur Raju,Female,26,Administration,Office Assistant,Masters,554789,2024-04-01,No,3,Pune,1
8408,Manjari Badal,Female,47,Marketing,Marketing Specialist,Diploma,495298,2017-02-14,No,5,Delhi,8
9439,Ehsaan Bhatnagar,Female,48,Marketing,Digital Marketer,PhD,1544233,2018-05-18,No,3,Pune,6
5857,Bhamini Devan,Male,46,Engineering,Software Engineer,Bachelors,2474983,2021-05-30,No,3,Hyderabad,3
5401,Ojas Manda,Female,30,Marketing,Digital Marketer,Bachelors,701924,2021-01-17,No,5,Chennai,4
1688,Drishya Goda,Female,31,HR,HR Manager,PhD,1653355,2024-09-30,Yes,4,Bangalore,0
8086,Jivin Singh,Male,26,Finance,Financial Analyst,High School,264608,2017-10-24,No,5,Chennai,7
6352,Renee D’Alia,Male,39,Finance,Accountant,Diploma,2037600,2016-07-01,No,3,Delhi,8
5940,Eva Sinha,Female,30,Finance,Financial Analyst,High School,814187,2019-09-12,No,3,Kolkata,5
2628,Pranay Yadav,Male,45,HR,HR Manager,PhD,986308,2023-09-10,No,3,Kolkata,1
5012,Dharmajan Setty,Female,42,Administration,Admin Manager,High School,1009863,2019-08-09,No,2,Hyderabad,5
9306,Jayant Singh,Male,26,Engineering,QA Analyst,High School,1526548,2023-08-12,No,3,Mumbai,1
4654,Dhruv Badal,Female,29,Sales,Sales Manager,Diploma,1812341,2021-11-14,No,4,Pune,3
9327,Gatik Banerjee,Male,31,Finance,Financial Analyst,Diploma,805242,2016-12-11,No,3,Mumbai,8
7184,Ayesha Goel,Male,45,Sales,Sales Executive,PhD,1873359,2016-05-05,No,5,Bangalore,9
4225,Rasha Ratta,Male,38,Sales,Sales Manager,High School,622865,2017-11-21,No,3,Bangalore,7
9453,Shray Bhasin,Female,27,HR,HR Manager,Bachelors,2159104,2020-01-16,No,3,Bangalore,5
1188,Anaya Bobal,Male,49,Marketing,Digital Marketer,Diploma,1400861,2015-06-02,No,5,Pune,9
3985,Damini Sachdev,Female,56,Marketing,Digital Marketer,High School,1296314,2022-04-16,No,3,Bangalore,3
1162,Rati Mani,Male,33,Marketing,Digital Marketer,Masters,746110,2024-10-18,Yes,2,Hyderabad,0
7290,Kiara Sarin,Male,35,Sales,Sales Manager,PhD,2344737,2020-10-03,No,2,Bangalore,4
2409,Mannat Sandhu,Male,60,IT Support,IT Technician,PhD,2441190,2019-09-27,Yes,2,Kolkata,5
6295,Piya Khare,Male,52,Finance,Financial Analyst,Diploma,901204,2019-03-19,No,3,Kolkata,6
7741,Ivana Shukla,Female,24,Finance,Accountant,Masters,789479,2021-02-26,No,4,Mumbai,4
2399,Pihu Chaudhary,Male,54,Finance,Accountant,PhD,2013459,2020-05-22,No,3,Kolkata,4
4839,Tanya Bhasin,Female,28,IT Support,IT Technician,Masters,2020952,2021-08-14,No,5,Chennai,3
7949,Yuvraj  Chakraborty,Female,58,Finance,Accountant,High School,1886457,2016-07-26,No,3,Kolkata,8
9784,Zeeshan Goel,Male,39,R&D,Research Associate,Diploma,567440,2018-12-23,No,4,Mumbai,6
9201,Yuvraj  Sharma,Male,47,Engineering,Senior Developer,Masters,1149046,2018-04-21,Yes,5,Chennai,7
1885,Saksham Chokshi,Female,50,IT Support,Helpdesk Support,Bachelors,788378,2023-10-28,No,4,Hyderabad,1
1141,Saanvi Vyas,Female,53,Administration,Admin Manager,Masters,602452,2018-04-27,No,2,Bangalore,7
8510,Tarini Seth,Female,44,Finance,Financial Analyst,Diploma,318007,2019-12-31,No,3,Chennai,5
3838,Uthkarsh Gade,Female,54,IT Support,Helpdesk Support,Bachelors,666560,2018-06-27,No,3,Pune,6
3853,Shlok Malhotra,Female,37,Marketing,Marketing Specialist,Masters,1744562,2017-01-31,No,3,Mumbai,8
3878,Gokul Bava,Female,60,Engineering,Senior Developer,High School,311323,2023-02-24,No,2,Delhi,2
4444,Diya Rao,Female,34,Marketing,Marketing Specialist,Bachelors,858810,2021-07-15,Yes,5,Kolkata,3
7744,Reyansh Dayal,Female,37,Finance,Financial Analyst,Diploma,1853063,2020-03-24,No,3,Kolkata,5
8713,Lagan Sandhu,Male,34,Administration,Admin Manager,PhD,1427432,2021-08-15,No,4,Bangalore,3
2534,Saanvi Sodhi,Female,21,IT Support,IT Technician,PhD,992079,2016-06-24,No,3,Mumbai,8
3608,Taran Sachdeva,Female,23,Sales,Sales Executive,Diploma,1582133,2023-02-24,No,3,Bangalore,2
9578,Kanav Gupta,Male,39,R&D,Research Associate,High School,2292651,2019-06-21,Yes,4,Pune,5
9139,Indrajit Deep,Male,38,IT Support,IT Technician,PhD,1061761,2020-10-13,No,3,Hyderabad,4
7173,Himmat Tiwari,Male,22,HR,HR Executive,High School,1422441,2021-08-25,Yes,2,Mumbai,3
9000,Kaira Kulkarni,Male,25,IT Support,IT Technician,High School,2413682,2022-08-13,No,4,Mumbai,2
8026,Ryan Rege,Male,36,Sales,Sales Manager,Diploma,1150602,2015-08-21,No,2,Bangalore,9
3600,Farhan Bail,Female,58,Marketing,Marketing Specialist,High School,2258623,2025-01-05,No,4,Delhi,0
6993,Ishita Swaminathan,Female,47,Sales,Sales Manager,Diploma,2384230,2023-09-06,No,3,Pune,1
6911,Anya Rana,Male,56,HR,HR Manager,PhD,1009760,2023-12-08,No,1,Pune,1
5647,Prerak Kulkarni,Male,59,Marketing,Marketing Specialist,PhD,1295105,2015-06-24,No,4,Mumbai,9
3533,Anaya Vyas,Female,36,R&D,Lab Technician,Diploma,1592695,2015-07-17,No,2,Hyderabad,9
5550,Adira Bumb,Male,22,Engineering,QA Analyst,High School,1781513,2019-07-04,No,3,Delhi,5
8598,Lagan Bhat,Male,32,Sales,Sales Executive,Bachelors,1819701,2022-12-01,No,3,Bangalore,2
3077,Abram Sha,Female,21,Finance,Financial Analyst,Bachelors,890144,2022-01-19,Yes,4,Kolkata,3
8606,Pranay Choudhury,Female,29,Engineering,Senior Developer,Masters,1345954,2017-08-18,No,3,Mumbai,7
3508,Nirvi Chawla,Male,38,Engineering,Software Engineer,Masters,1250290,2022-03-19,Yes,5,Delhi,3
7457,Anvi Deep,Female,44,HR,HR Manager,Bachelors,1785346,2025-03-31,Yes,4,Hyderabad,0
4510,Rohan Hans,Male,44,IT Support,IT Technician,Bachelors,470469,2020-12-11,Yes,2,Chennai,4
2914,Eva Walia,Female,34,Sales,Sales Manager,Bachelors,675568,2021-04-01,Yes,4,Pune,4
9326,Vedika Mall,Male,26,Marketing,Digital Marketer,Masters,2255667,2020-12-14,No,4,Hyderabad,4
1939,Prerak Lala,Male,41,HR,HR Manager,Diploma,799860,2016-11-28,No,4,Mumbai,8
6900,Gatik Kohli,Male,33,Administration,Admin Manager,High School,2459116,2021-12-14,No,1,Chennai,3
5801,Yasmin Sandhu,Female,47,Marketing,Digital Marketer,Bachelors,353508,2019-11-23,No,1,Delhi,5
4114,Shanaya Kaul,Male,54,IT Support,Helpdesk Support,Bachelors,912881,2020-06-22,No,2,Delhi,4
1762,Anahita Dhingra,Female,49,R&D,Research Associate,Masters,1614893,2018-05-26,No,1,Delhi,6
8669,Samaira Malhotra,Female,40,Sales,Sales Executive,High School,718758,2022-02-20,No,3,Chennai,3
2312,Pari Mani,Female,53,HR,HR Executive,Masters,790899,2022-07-10,No,3,Chennai,2
7573,Dharmajan Verma,Male,49,Marketing,Digital Marketer,PhD,692692,2020-04-20,No,3,Chennai,5
4012,Amani Wason,Male,23,R&D,Lab Technician,Bachelors,265511,2015-12-21,No,2,Chennai,9
4675,Raunak Bassi,Female,46,R&D,Lab Technician,High School,320143,2022-04-05,No,4,Hyderabad,3
3392,Miraya Lall,Male,42,Administration,Admin Manager,Bachelors,1608958,2023-02-27,No,4,Pune,2
3178,Ehsaan Sathe,Female,52,R&D,Lab Technician,Masters,906117,2023-08-19,No,5,Mumbai,1
6068,Anahita Majumdar,Female,39,Finance,Accountant,Masters,2219753,2017-09-02,Yes,3,Mumbai,7
4239,Devansh Bains,Female,38,IT Support,IT Technician,Bachelors,1117717,2017-05-20,No,2,Chennai,7
6069,Urvi Bala,Female,55,Engineering,Software Engineer,Diploma,2103649,2018-10-16,No,3,Hyderabad,6
6842,Emir Jain,Male,56,Engineering,Software Engineer,PhD,2383539,2016-04-06,No,1,Delhi,9
5781,Ira Kurian,Female,22,Engineering,Software Engineer,Bachelors,2185507,2018-08-20,No,4,Kolkata,6
8921,Jiya Yadav,Male,21,Finance,Financial Analyst,Diploma,624696,2021-07-02,No,1,Kolkata,3
5189,Nakul Aggarwal,Female,41,Marketing,Marketing Specialist,Bachelors,1955343,2022-10-07,No,3,Pune,2
7222,Pari Yohannan,Male,25,Engineering,Software Engineer,Bachelors,2041151,2023-06-02,No,3,Hyderabad,1
5330,Jayant Goel,Male,27,Administration,Office Assistant,Diploma,2243130,2016-07-26,Yes,5,Hyderabad,8
2761,Advik Bath,Male,60,Marketing,Digital Marketer,PhD,2165605,2018-06-29,No,3,Chennai,6
7640,Ivan Dar,Male,59,Sales,Sales Manager,Masters,606493,2015-12-10,No,2,Mumbai,9
2901,Dhanuk Subramanian,Male,43,HR,HR Manager,PhD,1066612,2020-12-08,No,3,Kolkata,4
3252,Himmat Deep,Female,56,HR,HR Manager,Diploma,1821632,2018-03-20,No,3,Bangalore,7
2598,Lagan Subramanian,Female,47,IT Support,Helpdesk Support,PhD,254549,2020-06-01,No,4,Kolkata,4
8127,Himmat Datta,Female,43,HR,HR Executive,PhD,450229,2024-03-27,No,4,Kolkata,1
7488,Anaya Lad,Male,28,R&D,Research Associate,Diploma,2040080,2015-09-11,No,3,Hyderabad,9
7085,Eva Bhagat,Female,50,Sales,Sales Manager,Bachelors,2376383,2024-05-24,No,3,Pune,0
1216,Mishti Ramakrishnan,Male,37,Marketing,Marketing Specialist,PhD,1285766,2023-03-11,No,3,Kolkata,2
7669,Ishita Sibal,Male,40,Administration,Office Assistant,Bachelors,1866328,2022-08-09,No,4,Bangalore,2
2182,Samarth Edwin,Female,58,Finance,Financial Analyst,Bachelors,706157,2024-01-28,No,4,Pune,1
5227,Shray Samra,Female,43,Marketing,Digital Marketer,High School,1838991,2018-04-13,No,4,Kolkata,7
9024,Mamooty Agrawal,Male,27,IT Support,Helpdesk Support,Diploma,2392070,2020-09-10,No,5,Kolkata,4
9625,Vivaan Bhalla,Female,28,R&D,Lab Technician,Masters,2166012,2021-07-19,No,3,Kolkata,3
4563,Aniruddh Vohra,Female,25,Marketing,Digital Marketer,Masters,913246,2022-01-08,No,3,Hyderabad,3
3993,Onkar Sachar,Male,55,Administration,Admin Manager,Bachelors,999726,2018-08-07,No,3,Hyderabad,6
5939,Kismat Deshmukh,Male,59,Marketing,Marketing Specialist,Masters,1394195,2015-08-02,No,3,Delhi,9
8153,Shray Korpal,Male,50,Administration,Admin Manager,Diploma,504304,2017-01-26,No,5,Kolkata,8
6165,Hunar Yohannan,Female,50,R&D,Research Associate,Bachelors,2097033,2020-03-25,No,4,Chennai,5
2641,Samaira Kadakia,Male,51,IT Support,IT Technician,Diploma,809945,2024-08-20,No,4,Bangalore,0
3480,Siya Shan,Male,31,HR,HR Executive,Masters,352607,2023-06-03,No,3,Pune,1
4251,Elakshi Seth,Female,21,Administration,Admin Manager,High School,1237225,2025-04-23,No,4,Delhi,0
7943,Kismat Wadhwa,Female,52,Marketing,Digital Marketer,Diploma,975987,2019-09-24,No,3,Kolkata,5
2880,Hiran Srivastava,Male,27,R&D,Research Associate,Diploma,1036600,2018-12-05,No,3,Delhi,6
4215,Parinaaz Kara,Male,50,Sales,Sales Executive,Diploma,2481943,2022-08-06,No,3,Chennai,2
5250,Rhea Gala,Female,37,IT Support,Helpdesk Support,PhD,1308178,2024-09-27,No,1,Kolkata,0
6193,Vihaan Gandhi,Male,57,R&D,Research Associate,Diploma,1295075,2023-01-08,No,5,Mumbai,2
4608,Manjari Khanna,Female,35,Sales,Sales Manager,Diploma,1627684,2019-07-21,No,3,Bangalore,5
8378,Kiara Sahni,Male,26,HR,HR Executive,Masters,1447563,2024-09-18,No,3,Hyderabad,0
3331,Ranbir Keer,Female,53,Engineering,Software Engineer,Diploma,517561,2018-07-30,No,2,Chennai,6
7408,Tiya Zacharia,Female,25,Finance,Financial Analyst,High School,783878,2022-03-24,No,4,Hyderabad,3
1268,Aniruddh Vasa,Female,47,R&D,Research Associate,PhD,1221855,2025-03-21,No,2,Kolkata,0
1499,Himmat Toor,Female,47,Administration,Office Assistant,PhD,1587145,2017-04-06,No,2,Delhi,8
4892,Madhup Deol,Male,29,Marketing,Digital Marketer,PhD,2242563,2018-04-07,No,3,Hyderabad,7
